sample_id,text,top_k_words
101,"Donald Blake Rix, CM OBC (1931 – November 6, 2009) was a Canadian pathologist, philanthropist, community volunteer, and businessman. He was the founder and chair of MDS Metro Laboratory Services (now known as LifeLabs Medical Laboratory Services), the largest private medical laboratory in Western Canada. He was a member of several organizations and foundations including the BC Innovation Council, BC Cancer Agency Foundation, BC Medical Services Foundation, and the BC Children’s Hospital Foundation and was the Chairman of the Board of Governors of UNBC. Dr. Rix earned a specialty certificate in general pathology in 1968 from the University of Western Ontario. He was a fellow of the College of American Pathologists, the Royal College of Physicians and Surgeons of Canada, the Royal Society of Medicine, and the American Society of Clinical Pathologists. He was awarded honorary doctorates by the British Columbia Institute of Technology (BCIT) and the University of Western Ontario, Simon Fraser University, University of British Columbia, and University of Victoria. He was the former chair of the Vancouver Board of Trade, a senior member of both the British Columbia and Canadian Medical Associations, and was awarded the BCMA Silver Medal of Service Award in 2004. On August 19, 2009 Dr. Rix was awarded the Canadian Medical Association's 2009 F.N.G. Starr Award. Donald Rix died on November 6, 2009.","[was, a, donald, he, blake, ri, canadian, ##x, he, 2009, ##ologist, and, path, 6, 1931]"
466,"A person is a comedian and television personality who has built a comedy and advertising career partly by becoming famous for being famous, especially in and near their home town of a large metropolitan area in the United States. This person is the self-proclaimed ""Best Looking Person in Comedy"", known for their androgynous and heavily made-up style as well as a loud, sometimes bizarre, comic persona. Their stage personality is made up of the sexual prowess of a famous musician, the funky style of a legendary soul artist, and the animation and expression of an iconic rock and roll musician. This person is known to break into verse and recite poetry at their shows, in ode to themselves, of course. Aside from claiming that they are the best-looking person in comedy, this individual makes many outrageous claims about themselves such as their ability to perform impossible feats. This person's recurring performance themes revolve around their own good looks and sense of style, their outre urban attitudes, and sexual topics.","[this, person, a, person, person, this, this, is, this, a, individual, person, is, who, united]"
80,"Charles Frederick Worth (13 October 1825 – 10 March 1895) was an English fashion designer who founded the House of Worth, one of the foremost fashion houses of the 19th and early 20th centuries. He is considered by many fashion historians to be the father of haute couture. Worth is also credited with revolutionising the business of fashion. Established in Paris in 1858, his fashion salon soon attracted European royalty, and where they led monied society followed. An innovative designer, he adapted 19th-century dress to make it more suited to everyday life, with some changes said to be at the request of his most prestigious client Empress Eugénie. He was the first to use live models in order to promote his garments to clients, and to sew branded labels into his clothing; almost all clients visited his salon for a consultation and fitting – thereby turning the House of Worth into a society meeting point. By the end of his career, his fashion house employed 1,200 people and its impact on fashion taste was far-reaching. The Metropolitan Museum of Art has said that his \""aggressive self-promotion\"" earned him the title of the first couturier. Certainly, by the 1870s, his name was not just known in court circles, but appeared in women's magazines that were read by wide society. Worth raised the status of dressmaking so that the designer-maker also became arbiter of what women should be wearing. Writing on the history of fashion and, in particular, dandyism, in 2002, George Walden said: \""Charles Frederick Worth dictated fashion in France a century and a half before Galliano\"".","[was, an, charles, frederick, worth, who, designer, english, he, 13, fashion, one, october, march, 1895]"
312,"A person (early 20th century) was a military officer and visual artist from the United States, specializing in painting. This individual was born in the early 20th century in a state in the Northeastern US. They completed their higher education in the late 1920s, also attending an institution for the arts. In the early 1940s, they were commissioned by a country's navy and deployed to a broad oceanic region. In the mid-1940s, they traveled to a region in the UK and participated in a notable military operation as a war artist. With the scenes vividly recorded, they returned to their home state to refine paintings based on their initial works and recordings. Throughout their career, they witnessed various military engagements in significant locations and created a substantial portfolio of artwork, with a focus on painting. Eventually, they ended their military service with a high rank and received a commendation. Post-service, they focused on creating various types of art using a popular medium, with a particular emphasis on painting landscapes, sports, and portraits in watercolor. Remaining active, they contributed to education and led a regional artists' association. They passed away in the mid-1970s in a town in their home state.","[this, individual, person, a, was, they, born, in, in, in, a, in, they, they, from]"
205,"Cecil T. Patterson (June 22, 1930 – October 27, 2002), among America’s earliest karateka, introduced the Wadō-ryū style of karate into the Eastern United States in 1958. Before his death in 2002, he had firmly established the United States Eastern Wadō-ryū Federation, previously known as the United States Eastern Wado-Kai Federation, a successful Karate organization 20 thousand strong, according to Patterson’s statement in an interview. Born in 1930 in Sevierville, Tennessee, Patterson first enlisted in the US Navy at the age of fourteen. While stationed in Iwakuni, Japan, Patterson, then 25 years of age, undertook the study of Karate. According to the USEWF website, Patterson started Wado in 1955 under Kazuo Sakura; more specifically, he started training in August 1955. In 1957, Patterson opened the first karate school in Tennessee, and in 1963 organized the first karate tournament in the state. In 1978 Tennessee governor Ray Blanton signed into law a state senate resolution naming Patterson the father of karate in Tennessee.","[t, patterson, cecil, june, among, he, 22, before, 2002, 1930, america, –, his, a, had]"
84,"Giacomo del Pó (1654 – 15 November 1726) was an Italian painter of the Baroque. He was born in Palermo (other sources say Rome or Naples), the son of Pietro del Po. He first trained under his father, but afterwards by Nicolas Poussin. He was admitted to the Roman Accademia di San Luca. He was chiefly occupied in decorating the mansions of the Neapolitan nobility with emblematical and allegorical subjects. Rome possesses only two of his pictures, one in the church of Sant'Angelo in Pescheria, and the other in Santa Marta al Collegio Romano. He also worked in Naples, where he painted frescoes for the Palatine chapel in the Royal Palace. He collaborated with Francesco di Maria and Francesco de Mura, in the frescoes for the Palazzo Carafa and the palace of the Prince Caracciolo de Avellino. He painted frescoes in the gallery of the Marquis of Genzano. He also painted frescoes in the Milano Chapel of San Domenico Maggiore and in the church of San Gregorio Armeno. he painted canvases for Church of Santa Maria di Sette Dolori and Santa Teresa degli Scalzi. He also painted in the Basilica of San Antonio and the cathedral in Sorrento. He painted frescoes in the Belvedere palace in Vienna for Eugene of Savoy. He died in Naples in 1726.","[was, an, del, he, po, painter, giacomo, italian, of, born, was, the, in, baroque, 15]"
131,"Jørgen Matthias Christian Schiødte (20 April 1815 – 22 April 1884), or Jørgen Christian Matthias Schiødte, was a Danish entomologist. He was Professor at University of Copenhagen Zoological Museum. His work was widely read \""for, as Schiodte remarks: 'We accordingly look upon the subterranean faunas as small ramifications which have penetrated into the earth from the geographically limited faunas of the adjacent tracts, and which, as they extended themselves into darkness, have been accommodated to surrounding circumstances. Animals not far remote from ordinary forms, prepare the transition from light to darkness. Next follow those that are constructed for twilight; and, last of all, those destined for total darkness, and whose formation is quite peculiar.' These remarks of Schiodte's it should be understood, apply not to the same, but to distinct species.\"" - Charles Darwin His best known publications were \n* Genera og species of Danmarks Eleutherata at tjene som fauna for denne orden og som indledning til dens anatomie og historie (1841) \n* Naturhistoriske bidrag til en beskrivelse of Grønland / af J. Reinhardt, J.C. Schiødte, O.A.L. Mørch, C.F. Lütken, J. Lange, H. Rink. Særskilt aftryk af tillæggene til \""Grønland, geographisk og statistisk beskrevet,\"" af H. Rink. 1857 \n* De metamorphosi eleutheratorum observationes : bidrag til insekternes udviklingshistorie / ved J. C. Schiødte.Kjøbenhavn Thieles Bogtrykkeri,1861-72. online In addition, he described numerous species of insects as well as the spider genus Liphistius.","[was, a, or, his, ##e, en, he, the, ##ologist, the, the, j, the, ##tom, the]"
134,"André Pinto Rebouças (13 January 1838 – 9 April 1898) was a Brazilian military engineer, abolitionist and inventor, son of Antônio Pereira Rebouças (1798–1880) and Carolina Pinto Rebouças. Lawyer, member of Parliament (representing the Brazilian state of Bahia) and an adviser to Pedro II of Brazil, his father was the son of a manumitted slave and a Portuguese tailor. His brothers Antônio Pereira Rebouças Filho and José Rebouças were also engineers. Despite racial prejudice, his father, a mulatto, was an important and prestigious man at the time. Self-taught to read and write, he had been granted the right to practice law throughout the country, represented Bahia in the House of Representatives on a range of legislature, was secretary of the Provincial Governorship of Sergipe, advisor to the Empire, and had received the title of Knight of the Imperial Order of the cross in 1823. Rebouças became famous in Rio de Janeiro, at the time capital of the Empire of Brazil, solving the trouble of water supply, bringing it from fountain-heads outside the town. Serving as a military engineer during the Paraguayan War in Paraguay, Rebouças successfully developed a torpedo. Alongside Machado de Assis and Olavo Bilac, Rebouças was a very important middle class representative with African descent, he also was one of the most important voices for the abolition of slavery in Brazil. He encouraged the career of Antônio Carlos Gomes, author of the opera O Guarani. In the 1880s, Rebouças began to participate actively in the abolitionist cause, he helped to create the Brazilian Anti-Slavery Society, alongside Joaquim Nabuco, José do Patrocínio and others. After the Republican coup d'État, Rebouças went into exile with Pedro II to Europe. For two years he stayed exiled in Lisboa, as a correspondent for The Times of London. In 1892, facing financial problems, Rebouças went to Luanda and after that, Funchal, in Madeira. In 1898 his body was found at the shoreline. He supposedly committed suicide.","[was, a, andre, ##s, re, brazilian, pinto, son, engineer, january, ##uca, military, ##bo, of, april]"
105,"James Marcellin St. Vrain (June 6, 1883 – June 12, 1937), a native of Ralls County, Missouri, was a Major League Baseball pitcher. The left-hander played for the Chicago Orphans in 1902, and at just 19 years of age he was the youngest player to appear in a National League game that season. St. Vrain made his major league debut in a road game against the Cincinnati Reds at the Palace of the Fans (April 20, 1902). He pitched well, but the Orphans lost 2–1. His first major league win came against the New York Giants on May 9. He pitched a 5–0 complete game shutout in front of the home crowd at West Side Park. St. Vrain pitched well during his only season but gave up a lot of unearned runs. He is also remembered for running the wrong way on the bases; although he was a left-handed pitcher, St. Vrain batted right-handed. One day, manager Frank Selee suggested he try batting left-handed, and upon making contact with the ball, St. Vrain was confused enough to run to third base (he was thrown out at first base). In a total of 12 games, 11 starts, 10 complete games, and 95 innings pitched, he had 51 strikeouts and only 25 walks, and gave up just 22 earned runs. Though his record was 4–6, his ERA was a sparkling 2.08. St. Vrain died at the age of 54 in Butte, Montana.","[was, a, st, james, 1883, ##lin, a, native, june, 6, vr, ##ain, the, marcel, of]"
150,"Alvah Augustus Clark (September 13, 1840 – December 27, 1912) was an American lawyer and Democratic Party politician who represented New Jersey's 4th congressional district in the United States House of Representatives from 1877 to 1881. He was the first cousin of James N. Pidcock, who represented the same district from 1885 to 1889. Born in Lebanon Township, New Jersey, Clark attended public and private schools as a child, studied law and was admitted to the bar in 1863, commencing practice in New Germantown, New Jersey. He was licensed as a counselor in 1867 and moved to Somerville, New Jersey later the same year where he continued to practice law. Clark was elected as a Democrat to the Forty-fifth and Forty-sixth Congresses, serving in office from March 4, 1877 – March 3, 1881, but was not a candidate for renomination in 1880. After leaving Congress, Clark resumed practicing law, was appointed postmaster of Somerville, serving until 1899 and, once again, resumed practicing law until his death in Somerville on December 27, 1912. He was interred in New Somerville Cemetery in Somerville.","[was, an, who, al, and, american, clark, politician, lawyer, ##vah, he, represented, 1840, september, 1912]"
242,"Akira Masuda (born May 22, 1962) is a Japanese Kyokushin kaikan karateka. In March 1991 he completed the 100 man kumite supervised by Mas Oyama. He was born in 1962 in Kanazawa, Ishikawa prefecture, Japan. In junior high school he was captain of the school judo club. When he was 16 years old he joined Kyokushin Kaikan Ishikawa Dojo. At 19 years old he made his debut in his first All Japan Tournament. He remained a top athlete in Kyokushin All Japan Tournaments, going on to beat Michel Wedel, Gerard Gordeau and Michael Thompson. He fought and lost to Andy Hug however Hug was unable to walk after the fight. In 1990 he won a gold medal in the 22nd All Japan Kyokushin Tournament. and in 1991 he placed second in the 5th World Karate Tournament. He is the shihan of Kyokushin Kaikan Masuda Dojo. In 2007 Masuda published the book \""Freestyle Karate\"" and in 2009 he published \""Masuda Akira - Go, Budojin toshite Ikiru\"".","[is, a, mas, akira, born, in, ##uda, he, may, ##ka, japanese, the, 22, in, he]"
219,"Warren T. Thompson (active 1840 - 1870) was an American photographer. Between 1840 and 1846 Thompson worked in Philadelphia and in 1843 refined Daniel Davis Jr.'s electroplating method for colouring daguerreotypes by using a gum tragacanth resist. With this technique colours could be built up in the manner of some types of printmaking. According to an article in the 1892 American Journal of Photography by editor Julius Sachse, Thompson traveled to Paris in 1845 from New York without speaking any French and with an introduction from the Russian Consul in New York to the Russian Vice-Consul in Paris who in turn arranged an introduction to Russian photographer Sergei Lvovich Levitsky. Levitsky is quoted by Sachse as declaring Thompson's daguerreotypes were 'works of art'. Sachse further claims that Thompson influenced for the development of portrait daguerreotypes in Paris. From 1849-50 Thompson was listed as a photographer at 14 boulevard Poissonnière, rue Basse-du-Rempart in 1851, then 22 rue de Choiseul from 1853-59. Levitsky returned to Russia by 1849 but came back to Paris by 1859 where he took over Thompson's Choiseul address. This was also the premises for the French arts club. Thompson (aka as surname 'Warren-Thompson'} produced daguerreotypes in Paris as well as very fine stereo daguerreotypes and a number of theatrical self-portraits some of very large size, but his body of known work is scant. The skill of his surviving work suggests he may have trained as a painter. For a pioneer era photographer whose role appears to have been quite prominent in Paris in the 1840s and 50s, Thompson's career is poorly known.","[t, was, an, thompson, warren, between, active, american, photographer, 1870, 1840, and, -, 1840, in]"
264,"A person (born in the 1970s) is a high fashion designer living and working in a European country. This person was born in a Middle Eastern city, in the 1970s, studied in Europe, and has become one of the top high fashion designers of the new era. Their success started with an inaugural high fashion show in a European capital in the early 2000s. Since then, every high fashion show in this capital has been wildly successful, including the latest in the early 2010s. This person is held in esteem across boundaries and oceans and their clients are found on multiple continents. Their success is due to their talent of uniting the colours of the Mediterranean with the refinement of the European fashion industry, creating a style that is unique in the world, and to their way of dressing not only the body but also the soul of individuals. They have been invited across the globe to show their creations: in countries in the Middle East, North Africa, North America, Europe, and Asia. They have participated and received awards at various events such as: Fashion for Peace, Fashion in the Mediterranean, Fundraising events, and fashion shows for children's charities. Selected exhibitions where their work has been presented include: 
*  Early 2010s – a city in the Middle East 
*  Late 2010 – a city in North Africa - fashion event during an international film festival 
*  Early 2010 - a city in the Middle East - High Fashion Show at a prestigious hotel 
*  Early 2009 – a European capital - High Fashion Show 
*  Late 2009 - a city in Europe – In the setting of the high life of the country 
*  Late 2009 – a city in Southeast Asia - in the presence of royalty 
*  Mid 2009 – a city in Europe - Fashion Show 
*  Early 2008 – a European capital, a major fashion event He has dressed famous singers on television and prime concerts and festivals.","[this, person, a, person, this, was, person, in, they, born, and, country, their, been, in]"
31,"Luke Zachrich (born October 1, 1981) is an American mixed martial artist and former professional boxer who formerly competed in the Middleweight division of the Ultimate Fighting Championship, where he held a record of 1–2. A professional mixed martial arts competitor since 2006, Zachrich was a member of Team Forrest on the seventh season of The Ultimate Fighter, and has also fought for King of the Cage, Xtreme Fighting Organization, Bellator, and Ultimate Victory Challenge, the latter of which he was the inaugural Middleweight Champion. In the first few years of his career, he trained with professional wrestling and mixed martial arts legend Dan Severn at The Beast Academy in Coldwater, Michigan, before relocating to Team Jorge Gurgel in Cincinnati, Ohio. He now fights out his own training facility, the Ronin Training Center, where he is also one of the head instructors. He currently holds a professional record of 14–4, with seven of his fourteen wins coming by way of submission. As of November 29, 2015, Zachrich is currently ranked as the #193 best Middleweight in active mixed martial arts competition by Fight Matrix, and is ranked at #95 in the Tapology.com Middleweight rankings.","[is, an, luke, born, zach, ##rich, american, who, and, artist, october, 1, 1981, mixed, in]"
226,"Edward J. Wasp, also known as E. J. Wasp, is an engineer and inventor known for developing long distance slurry pipelines for the transportation of coal and other solid materials. Wasp, born in New York City, earned a bachelor's degree in chemical engineering from Cooper Union, a master's degree in mathematics from the University of Pittsburgh, and an MBA from Golden Gate University. He began experimenting with coal slurries in a systematic manner when he worked for Consolidation Coal Company in the early 1950s. Wasp combined works of scientists and engineers and developed a model that related homogeneous and heterogeneous \""flow characteristics\"" of slurry for the design of long-distance pipelines. He was in charge of the world's first long-distance coal pipeline, a 108-mile system within Ohio completed in 1957. Wasp later became manager of the slurry systems department for the engineering firm Bechtel and executive vice president of Energy Transportation Systems, Inc. (ETSI). He received an Elmer A. Sperry Award in 1981 \""for his contributions toward the development and application of long distance pipeline slurry transport of coal and other finely divided solid materials\"". In 1982, Pipeline called Wasp the \""patron saint of slurry pipelines\"" and one of the leading slurry pipeline engineers in the world.","[is, an, j, j, and, for, as, edward, known, engineer, also, wasp, inventor, known, e]"
77,"Silvio Danailov (born 21 April 1961) is a former Bulgarian chess player and International Master. He was a manager and coach of the Bulgarian men's national chess team (1993-2000) and manager and coach of two former FIDE world chess champions, GM Veselin Topalov (BUL) and GM Ruslan Ponomariov (UKR). Silvio Danailov was Honorary President of the European Chess Union (ECU) from 2014 until he resigned as such a year later, President of the European Chess Union (2010-2014), Member of FIDE Presidential Board (2010-2014) and currently President of the Bulgarian Chess Federation since 2011. He is an entrepreneur of chess competitions and founder of the Grand Slam chain of tournaments in 2006, which included Wijk aan Zee (Holland), Linares (Spain), MTel Masters (Bulgaria), Nanjing (China) with the Final Masters tournament in Bilbao (Spain). Silvio Danailov implemented the famous anti-draw rules called the Sofia Rules, which were introduced for the first time in the MTel Masters tournament in 2005. The rule states: “The players should not offer draws directly to their opponents. Draw-offers will be allowed only through the Chief-Arbiter in three cases: a triple-repetition of the position, a perpetual check and in theoretically drawn positions.” Sofia rules make the chess games and tournaments more attractive to the general audience, media and sponsors. Silvio Danailov’s company Kaissa Chess Management has organized many world top chess events such as; MTel Masters super tournament in Sofia, Bulgaria (five times, 2005-2009), the Candidates match for FIDE World Championship Topalov - Kamsky in Sofia (2009) and the World Championship match Anand - Topalov in Sofia (2010), and many European chess championships. He is fluent in English, Spanish, Russian and Serbo-Croatian languages. In 2011, Silvio Danailov was awarded with the highest Bulgarian state award – the Order of Stara Planina 1st class by the President Georgi Parvanov for “his exceptional contribution to the Republic of Bulgaria in the field of physical education and sport.” Danailov led the campaign for endorsement of the ECU’s Chess in school program by the European Parliament in Strasbourg on March 13, 2012. The Written Declaration 50/2011 for the implementation of the ‘Chess in School’ programme among the schools in the European Union was signed by 415 MEPs. During his Presidency, the European Chess Union became a partner of the United Nations Educational, Scientific and Cultural Organization, which officially gave the rights to ECU to organize some of its events under the Patronage of UNESCO. Silvio Danailov was involved in several controversies such as the bathroom controversy during the World Chess Championship 2006.","[a, is, dana, ##v, he, born, silvio, a, master, and, april, ##ilo, was, former, player]"
