Attack Index,Bracketed Words,Original Text (Cleaned)
17,"[A, person, This, individual, individual, This]","A person (born in the mid-20th century) is a photographer from the United States who specializes in a certain type of portrait photography. This individual began working for a prominent magazine in the latter part of the 20th century and was among a select group of photographers responsible for the magazine's feature photographs. Raised in a major U.S. city, they attended local educational institutions. They completed their education at an arts academy and a notable photography institute in the latter part of the 20th century. After starting as an apprentice at the magazine, this individual worked alongside other key photographers at the magazine's studio. During their educational tenure, they mastered the use of a specialized camera, which was instrumental in producing the magazine's elaborate feature spreads. Striving for the highest quality in these spreads, the magazine employed a particularly large camera. The necessity to illuminate a large film format led this person to become adept in complex lighting arrangements, often involving multiple lighting units. As technology progressed from film to digital, they adapted their methods to continue creating images with precision lighting. This individual compares their method to a painter's, with each light serving as a brush stroke to gradually compose the final picture. No longer employed by the magazine, their final feature project was with a model for a year-end issue. They now reside in a Californian city."
18,"[Thomas, Codrington, British, engineer, Codrington, Macadamised, Codrington's, work, Roman, 1903, first, Roman, The, edition]","Thomas Codrington (1829, Wroughton, Wiltshire - 1918) was a British engineer and antiquarian of the late Victorian era. With a career background as an Inspector for local government, he published several known works. First was Report on the Destruction of Town Refuse, published by Her Majesty's Stationery Office in 1888. This was only a short pamphlet of 48 pages, including illustrations of furnaces in use at the time. Codrington went on to write the slightly more substantial 172 page work The Maintenance of Macadamised Roads in 1879, published by E. & F.N. Spon. However, by far Codrington's most famous work was also one of his last. Roman roads in Britain, published originally in 1903, was the first attempt by any author to catalogue fully the evident remains of the Roman transport network in the United Kingdom. Several further editions were subsequently published, and indeed reprinted. The last of these was a reprint of the 3rd edition in 1928."
20,"[Sunaura, Taylor, March, 21, 1982, American, painter, She, currently, resides, Oakland, California, taught, classes, University, California, Berkeley, born, Tucson, Arizona, Taylor's, work, displayed, Smithsonian, important, galleries, across, United, States, She, recipient, 2008, Joan, Mitchell, Award, In, 2004, received, Grand, Prize, arts, Driving, juried, exhibition, emerging, disabled, artists, A, work, deals, animal, rights, issues, Taylor, abolitionist, Taylor, born, She, Disability, Marxist, Review, TCE, full-color, publication's, National, Flagpole, argued, February, filmmaker, Astra, appeared, 2008]","Sunaura \""Sunny\"" Taylor (born March 21, 1982) is an American painter and activist for disability and animal rights. She currently resides in Oakland, California, and has taught classes at the University of California, Berkeley. She was born in Tucson, Arizona. Taylor's work has been displayed in the Smithsonian and in other important galleries across the United States. She is the recipient of a 2008 Joan Mitchell Foundation Award. In 2004, she received the Grand Prize in the VSA arts Driving Force juried exhibition for emerging disabled artists. A portion of her work deals with animal rights issues, as Taylor is an abolitionist vegan. Taylor was born with arthrogryposis, and uses a wheelchair. She is active in the Society for Disability Studies and has participated in marches for disability rights. Her work on the disability rights movement has appeared in the Marxist magazine Monthly Review, and her Self Portrait with TCE was the first full-color image ever printed in the publication's long history. She has been featured on All Things Considered on National Public Radio, and the Georgia Public Television series State of the Arts. Her work has also been featured frequently in Flagpole Magazine in her home town, Athens, Georgia. Taylor argued her position against animal products in her February 17, 2009 article titled \""Is It Possible to Be a Conscientious Meat Eater?\"". Taylor is also the sister of the filmmaker Astra Taylor, and appeared in her 2008 film Examined Life alongside philosopher Judith Butler."
22,"[Chris, English, male, tennis, director, chairman, On, appointed, ATP, chairman, Drewett, His, three-year, ATP, involved, Following, Kermode, ATP, Kermode, appointed, Lawn]","Chris Kermode (born 13 January 1965) is a retired English male tennis player, a former tournament director and the current executive chairman & president of the Association of Tennis Professionals (ATP). On 20 November 2013 Kermode was appointed as the ATP executive chairman & president to succeed Brad Drewett who died of an illness in May 2013. His three-year term started on 1 January 2014, and he is based in the ATP’s London office. Kermode has been involved in tennis for more than 30 years. Following his modest career as a professional player from 1985 to 1988, Kermode worked in London as a tennis coach and later served as the tournament director of the Queen's Club Championships. From 2008 to 2014 he has been the managing director of the ATP World Tour's season-ending event ATP World Tour Finals. In addition Kermode has worked in the music and film business. Before being appointed by the ATP Kermode applied for the position of chief executive at the British Lawn Tennis Association (LTA) but was not selected."
24,"[Akira, Masuda, born, May, 1962, Japanese, Kyokushin, kaikan, In, 1991, kumite, supervised, Mas, Oyama, He, Kanazawa, Ishikawa, captain, school, judo, club, When, 16, Kaikan, Ishikawa, Dojo, 19, years, first, All, Japan, Japan, Gerard, Michael, Thompson, Andy, Hug, unable, walk, 1990, gold, medal, All, second, He, Kaikan, Dojo, In, 2007, book, Freestyle, 2009, published, Go, Budojin, Ikiru]","Akira Masuda (born May 22, 1962) is a Japanese Kyokushin kaikan karateka. In March 1991 he completed the 100 man kumite supervised by Mas Oyama. He was born in 1962 in Kanazawa, Ishikawa prefecture, Japan. In junior high school he was captain of the school judo club. When he was 16 years old he joined Kyokushin Kaikan Ishikawa Dojo. At 19 years old he made his debut in his first All Japan Tournament. He remained a top athlete in Kyokushin All Japan Tournaments, going on to beat Michel Wedel, Gerard Gordeau and Michael Thompson. He fought and lost to Andy Hug however Hug was unable to walk after the fight. In 1990 he won a gold medal in the 22nd All Japan Kyokushin Tournament. and in 1991 he placed second in the 5th World Karate Tournament. He is the shihan of Kyokushin Kaikan Masuda Dojo. In 2007 Masuda published the book \""Freestyle Karate\"" and in 2009 he published \""Masuda Akira - Go, Budojin toshite Ikiru\""."
25,"[Jamal, Taslaq, 1970, high, fashion, designer, living, working, born, Palestine, 1970, studied, His, success, started, Rome, Since, March, success]","Jamal Taslaq (born 1970) is a Palestinian high fashion designer living and working in Italy. He was born in Nablus, Palestine, in 1970, studied in Italy, and has become one of the top Rome High Fashion designers of the new era. His success started with his inaugural Rome High Fashion Show in the year 2000. Since then, every high fashion show in Rome has been wildly successful, including the latest in March 2011. He is held in esteem across boundaries and oceans and his clients are found in three continents. His success is due to his talent of uniting the colours of the Mediterranean with the refinement of the “Made in Italy” creating a style that is unique in the world, and to his way of dressing not only the body but also the soul of woman. He has been invited across the globe to show his creations: Jordan, Dubai, California, Morocco, Romania, Palestine, Azerbaijan and many locations in Italy, from Milan to Sicily. He has participated and received awards at: Fashion for Peace, Fashion in the Mediterranean, Fundraising for the needy, UNICEF fashion show for the children. Selected exhibitions where his work has been presented \n*  Apr. 2011 – Ramallah, Palestine \n*  Dec. 2010 – Marrakech, Morocco - fashion Day Morocco during Festival International du Film de Marrakech \n*  Apr. 2010 - Amman, Jordan - High Fashion Show at Four Seasons Hotel \n*  Feb. 2009 – Rome, Italy - High Fashion Show \n*  Dec. 2009 - Sorrento, Italy – In the setting of the High life of Italy \n*  Nov. 2009 – Kuala Lumpur, Malaysia - in the presence of the King and Queen \n*  Jun. 2009 – Florence, Italy - Fashion Show \n*  Feb. 2008 – Rome, Italy, AltaRoma AltaModa High Fashion Show He has dressed famous Italian singers on television and prime concerts and festivals."
26,"[Dallas, Kinney, born, 1937, Buckeye, Iowa, photojournalist, photographs, As, newspaper, journalist, Dallas, started, photojournalist, acclaimed]","Dallas Kinney, born in 1937 in Buckeye, Iowa, is a photojournalist who won the 1970 Pulitzer Prize in photography for his photographs of Florida migrant workers for The Palm Beach Post. As a newspaper journalist, Dallas has also worked for the Washington Evening Journal in Washington, Iowa, The Dubuque Telegraph Herald, in Dubuque, Iowa, The Miami Herald in Miami, Florida and the Philadelphia Inquirer in Philadelphia, Pennsylvania. Dallas started his photojournalism career as a student of famous nature photographer Ansel Adams in Carmel, California. Kinney has a passion for and continuing desire to create \""Ansel Adams-like\"" photographs as they exist in current times. Among his other awards as a photojournalist, Kinney was the recipient of the following awards: Pulitzer Prize for Photojournalism, Robert F. Kennedy Journalism Award, World Press Association/Photojournalism, National Press Photographers Association Regional, Iowa News Photographer of the Year, Florida News Photographer of the Year. He is most acclaimed for his poignant pictures of Florida migrant workers entitled \""Migration to Misery\"" and the tragic \""Martin Luther King Assassination\"". Dallas now resides with his wife Martha near the North Georgia mountain town of Dahlonega."
27,"[Emily, Marie, Mahoney, September, 1924, 2016, 1947, 1948, Baseball, League, Born, Houston, Texas, Marie, twelve, Red, color, fourth, outfielder, Indiana, teams, played, league, Mahoney, began, playing, softball, nine, also, tennis, After, graduating, led, She, found, She, ending, triples, She, opened, South, Bend, Fort, Daisies, time, help, batted, Mahoney, She, Eastman, technician, 32, years, retiring, She, diagnosed, breast, cancer, 1993, treatment, returned, daily, Women, permanent, based, Cooperstown, York, unveiled, 1988, honor, All-American, Professional, Casey, induction, 2006]","Emily Marie Mahoney (September 21, 1924 – January 23, 2016) was an outfielder who played from 1947 through 1948 in the All-American Girls Professional Baseball League. Listed at 5' 3\"" (1.60 m), 135 lb. (61 k), she batted and threw right-handed. Born in Houston, Texas, Marie Mahoney was the only Houstonian to play in the AAGPBL during its twelve years of existence. ״Red״, as teammates called her for her hair color, served as fourth outfielder for the two Indiana teams as long as she played in the league. Mahoney began playing softball at age nine. She also competed in basketball, tennis and volleyball, before joining a women's softball team when she turned 16. After graduating from San Jacinto High School, she continued her excellence on the diamond as she became a perennial Texas state ASA all-star, who led her teams to several state championships. She was primarily a pitcher, and after a brief stint at third base, she found her permanent home in the outfield. Thanks to a recommendation by fellow AAGPBL catcher Mary Baker, Mahoney became one of two hundred players to attend the first AAGPBL spring training outside the United States, which was held in Cuba at Gran Stadium de La Habana before the 1947 season. She made the grade and was assigned to the South Bend Blue Sox. In her rookie season, Mahoney hit a .204 average and a .340 of slugging in just 47 games, while ending fifth in triples. She opened 1948 with South Bend but was traded to the Fort Wayne Daisies during the midseason, just in time to help her team reach the playoffs. She batted a combined .140 in 56 games, and went 1-for-5 in two postseason contests. Mahoney later played softball in Houston. She also worked for Eastman Kodak as a microfilm technician during 32 years, retiring in 1983. She was diagnosed with breast cancer in 1993, but recovered after treatment and returned to her daily life without any difficulty. She is part of Women in Baseball, a permanent display based at the Baseball Hall of Fame and Museum in Cooperstown, New York, which was unveiled in 1988 to honor the entire All-American Girls Professional Baseball League. In addition, Casey Candaele, former Houston Astros infielder and son of AAGPBL star Helen Callaghan, introduced her for induction into the Texas Baseball Hall of Fame in 2006. Other AAGPBL from Texas were inducted during the ceremony, Alva Jo Fischer and Ruth Lessing, both natives of San Antonio. An accomplished bowler for 30 years, Marie Mahoney resided in Houston and worked part-time at a local golf course. She died in 2016 at the age of 91."
28,"[Andrew, born, 26, February, professional, tennis, player, Milton, Keynes, Andrew, England, Delhi, Champion, brother, made]","Andrew Baggaley (born 26 February 1983 in Northampton) is a professional table tennis player from Milton Keynes. Andrew Baggaley is England's leading table tennis medal winner of all time in the Commonwealth Games winning 2 gold medals in Manchester, England (2002), 1 silver medal in Melbourne, Australia (2006), 1 silver and 1 bronze medal in Delhi, India (2010) and 1 silver in Glasgow, Great Britain. He is also World Champion 2015 of Ping Pong, after beating reigning champion Maxim Shmyrev in the semi-final and Alexander Fleming in the final. He started playing the sport with his mother Yvonne in the back garden of the family home in Milton Keynes in the Summer of 1987 aged 4 and has been coached almost exclusively by his brother Stephen Baggaley throughout his career. He is a triple English Men’s Singles National Champion by winning the senior title in Sheffield in 2002, 2008 and 2010. At the time, his 2002 victory aged just 19 was the youngest winner of the Men’s Singles National Title for 40 years and he is still only one of 3 teenage winners of the title. He also became the youngest ever British Men’s Singles Champion aged 15 when he won the British Home Countries Title in Oban, Scotland (1998). Andrew Baggaley became Britain’s youngest ever professional table tennis player by signing terms to play for Brussels-based Belgian National League team TTC Logis Auderghem aged 13 (1996). He has subsequently played in national leagues across Europe including Germany, Sweden and Spain. Andrew Baggaley made his England Junior International début aged 12 in the European Cadet (Under 14) Six Nations Championships in Soham (1995), and went on to win European Youth Medals at both Cadet and Junior (Under 17) categories; England’s first medals at these prestigious events for almost a decade. He made his England Senior International début at the French Open in 1997 aged 14 and also represented England at the 44th World Table Tennis Championships in Manchester, England later that year. Baggaley has won 23 English National Junior titles and has been ranked England number 1 in every age group (Under 10,11,12,14,17,21) culminating in becoming England number 1 senior aged 20 (2003), the youngest at the time for 20 years. Baggaley has defeated many world-class players from both Europe and Asia including victories over Peter Karlsson (Sweden) and Jean-Michel Saive (Belgium) both former European Singles Champion, Chiang Peng-Lung (Chinese Taipei) the former Asian Singles Champion, Gao Ning (Singapore) the Asian Cup champion and Jörgen Persson (Sweden) the 1991 World Champion. In November 2011 Andrew Baggaley officially became the highest-ranked British player on the ITTF ranking list with a World Ranking of 142. Andrew Baggaley was the Table Tennis motion capture actor for the Xbox 360 game Kinect Sports. He was a Bid Ambassador for the London 2012 Olympics where he was selected to play in the Team GB Table Tennis team."
31,"[John, McBride, American, Major, League, Baseball, player, Philadelphia, Pennsylvania, star, pitcher, player-manager, Philadelphia, National, Association, 1871, 1875, Cap, Anson, took, player-manager, remaining, season, He, wins, period, In, 1871, went, 18-5, Philadelphia, NA, McBride, major, league, career, 1876, National, Association, He, 0-4, career, McBride, Philadelphia, age, interred, Cemetery, Pennsylvania, In, 1864, 3-day, Brooklyn, north's, baseball, Brooklyn, events, territory, presence]","John Dickson \""Dick\"" McBride (June 14, 1847—January 20, 1916) was an American Major League Baseball player from Philadelphia, Pennsylvania, who was the star pitcher and the player-manager for the Philadelphia Athletics of the National Association from 1871 through most of 1875 until Cap Anson took over as player-manager for the remaining eight games of the season. He had a pitching record of 149 wins and 74 losses during that period. In 1871, he went 18-5 and led Philadelphia to the NA championship. McBride finished his major league career in 1876 when he was signed by the Boston Red Stockings of the National League after the Association failed. He had a record of 0-4 before his career came to an end. McBride died in Philadelphia at the age of 70, and is interred at Lawnview Cemetery in Rockledge, Pennsylvania. In 1864, while serving in the Union Army during the Civil War, he was allowed to take a 3-day furlough to participate in a series of baseball exhibitions between clubs from Brooklyn and the local Philadelphia clubs. It was during this time that the north's attention had turned to military defense, not baseball, so Brooklyn strategically scheduled these events hoping to take advantage of the situation to get some well sought after wins in \""enemy\"" territory. The presence of McBride didn't do much, as all Philly teams were beaten soundly."
34,"[A, This, artist, They, The]","A comedian and musician of Middle Eastern origin, known by their humorous stage name, immigrated to a Scandinavian country at the age of two with their family and settled in a major city. This artist explored various dance genres including rumba, flamenco, rock, cha-cha-cha, ballet, and street dance, later working as a choreographer and dance instructor. In 2006, they were featured on a national television network's dance program, which is no longer running. They rose to internet fame following a 2007 interview where they expressed a preference for ""rumpa"" (buttocks) over breasts, making ""rumpa"" their signature catchphrase. They portrayed a roving reporter in a comedy TV show broadcasted on a national channel. That year, they also participated in the third series of a competitive television show. Their single entered the national Singles Chart, reaching the top 10. In a national song contest, they advanced past the Semi-final with a catchy tune but were ousted in the 'Second Chance' round, not making it to the final. Nevertheless, the track gained immense popularity, hitting number 3 on the official Singles Chart. Competing in the next year's edition of the contest with a different song, they performed in the semi-final at a renowned arena in a major city, securing 1st place and a spot in the final, ultimately placing 6th. The comedian's debut film was released in 2012 and received critical disapproval."
35,"[Peter, Borsari, Angeles, American-Swiss, His, endearing, charm, unparalleled, paparazzi, celebrities, actively, photographed, 1995, Peter, approximately, transparencies, negatives, contactsheets, images, consists, Archive, distinguishing]","Peter C. Borsari (1939 in Zürich - May 29, 2006 in Los Angeles) was an American-Swiss photographer. His endearing charm and impeccable reputation permitted him exclusive access and unparalleled cooperation from his subjects. The antithesis of today’s paparazzi, he was an invited guest at Hollywood’s premier events as well as celebrities’ personal parties and gatherings. Spanning Presley to Nixon, he actively photographed people, places and events from 1965 to 1995. Peter estimated his archive contained approximately two million images; including transparencies, negatives, prints and contactsheets. Roughly 80% of these images feature celebrities in the entertainment industry. The remainder consists primarily of prominentpoliticians (e.g. Nixon), athletes (e.g. Ali), events (e.g. Malibu fire), sports (e.g. Formula One) and travel destinations (e.g. Switzerland). The Peter C. Borsari Photographic Archive is unequaled in its breadth, exclusivity and sheer magnitude. Most distinguishing is Peter’s singular ability to capture his subjects in their best light."
